Date,Max temp,Min temp,Avg temp
2019-03-01,35,27,31
2019-03-02,40,30,35
2019-03-03,32,24,28
2019-03-04,24,13,18.5
2019-03-05,19,6,12.5
2019-03-06,21,9,15
2019-03-07,30,16,23
2019-03-08,38,20,29
2019-03-09,48,21,34.5
2019-03-10,57,39,48
2019-03-11,48,32,40
2019-03-12,45,24,34.5
2019-03-13,59,27,43
2019-03-14,77,42,59.5
2019-03-15,64,35,49.5
2019-03-16,41,29,35
2019-03-17,42,25,33.5
2019-03-18,41,28,34.5
2019-03-19,47,25,36
2019-03-20,54,25,39.5
2019-03-21,50,40,45
2019-03-22,40,29,34.5
2019-03-23,46,22,34
2019-03-24,56,27,41.5
2019-03-25,46,30,38
2019-03-26,46,25,35.5
2019-03-27,56,23,39.5
2019-03-28,61,37,49
2019-03-29,58,50,54
2019-03-30,67,40,53.5
2019-03-31,40,26,33
